"","year","term"
"11",1991,"jazz"
"23",1991,"rock"
"53",1995,"jazz"
"65",1995,"rock"
"95",1997,"jazz"
"107",1997,"rock"
"209",2008,"rock"
"215",2008,"pop"
"217",2008,"indie"
"224",1987,"jazz"
"226",1987,"pop"
"242",1972,"jazz"
"244",1972,"pop"
"260",1993,"jazz"
"262",1993,"pop"
"278",1998,"jazz"
"280",1998,"pop"
"296",1993,"jazz"
"298",1993,"pop"
"330",1998,"hip hop"
"342",1998,"pop"
"349",1998,"rock"
"374",2005,"hip hop"
"386",2005,"pop"
"393",2005,"rock"
"418",1996,"hip hop"
"430",1996,"pop"
"437",1996,"rock"
"462",1996,"hip hop"
"474",1996,"pop"
"481",1996,"rock"
"506",1998,"hip hop"
"518",1998,"pop"
"525",1998,"rock"
"555",2005,"rock"
"577",2005,"rock"
"599",2006,"rock"
"621",2010,"rock"
"643",2000,"rock"
"665",2004,"rock"
"676",2004,"rock"
"678",2004,"pop"
"688",2004,"jazz"
"692",2009,"hip hop"
"697",2009,"rock"
"711",2009,"pop"
"717",2009,"indie"
"722",2001,"hip hop"
"727",2001,"rock"
"741",2001,"pop"
"747",2001,"indie"
"752",2000,"hip hop"
"757",2000,"rock"
"771",2000,"pop"
"777",2000,"indie"
"782",2005,"hip hop"
"787",2005,"rock"
"801",2005,"pop"
"807",2005,"indie"
"812",2000,"hip hop"
"817",2000,"rock"
"831",2000,"pop"
"837",2000,"indie"
"842",2003,"hip hop"
"847",2003,"rock"
"861",2003,"pop"
"867",2003,"indie"
"872",2000,"hip hop"
"877",2000,"rock"
"891",2000,"pop"
"897",2000,"indie"
"902",2004,"hip hop"
"907",2004,"rock"
"921",2004,"pop"
"927",2004,"indie"
"932",2007,"hip hop"
"937",2007,"rock"
"951",2007,"pop"
"957",2007,"indie"
"979",2004,"pop"
"991",2004,"rock"
"992",2004,"jazz"
"1024",2008,"hip hop"
"1066",2008,"hip hop"
"1080",2005,"pop"
"1084",2005,"rock"
"1090",2005,"indie"
"1093",2003,"rock"
"1097",2003,"pop"
"1103",1992,"hip hop"
"1120",1992,"pop"
"1129",1992,"rock"
"1148",1980,"rock"
"1159",1980,"pop"
"1167",1979,"rock"
"1178",1979,"pop"
"1186",1982,"rock"
"1197",1982,"pop"
"1210",1996,"hip hop"
"1223",1996,"rock"
"1234",1961,"rock"
"1237",1961,"pop"
"1242",2003,"pop"
"1256",2009,"pop"
"1270",2009,"pop"
"1290",2009,"rock"
"1291",2009,"hip hop"
"1307",2009,"pop"
"1323",2009,"jazz"
"1335",2000,"rock"
"1336",2000,"hip hop"
"1352",2000,"pop"
"1368",2000,"jazz"
"1388",1995,"rock"
"1397",1995,"hip hop"
"1425",1991,"rock"
"1468",1991,"rock"
"1511",1991,"rock"
"1533",1998,"rock"
"1552",1998,"indie"
"1559",1998,"pop"
"1563",2001,"rock"
"1582",2001,"indie"
"1589",2001,"pop"
"1593",1998,"rock"
"1612",1998,"indie"
"1619",1998,"pop"
"1627",1994,"rock"
"1634",1994,"pop"
"1646",1992,"rock"
"1653",1992,"pop"
"1665",2006,"rock"
"1672",2006,"pop"
"1684",2001,"rock"
"1691",2001,"pop"
"1698",2008,"pop"
"1703",2008,"rock"
"1713",2008,"indie"
"1738",1997,"indie"
"1754",1997,"rock"
"1756",1997,"pop"
"1796",1999,"indie"
"1798",1999,"rock"
"1835",2000,"rock"
"1844",2000,"jazz"
"1877",2003,"rock"
"1886",2003,"jazz"
"1919",2003,"rock"
"1928",2003,"jazz"
"1931",2007,"rock"
"1981",2000,"pop"
"1997",2000,"rock"
"2028",2000,"pop"
"2044",2000,"rock"
"2062",1997,"indie"
"2064",1997,"rock"
"2073",1997,"pop"
"2089",2001,"pop"
"2095",2001,"rock"
"2108",2001,"jazz"
"2113",2001,"hip hop"
"2139",1995,"pop"
"2145",1995,"rock"
"2158",1995,"jazz"
"2163",1995,"hip hop"
"2200",2003,"rock"
"2210",2006,"rock"
"2221",2006,"indie"
"2241",2006,"rock"
"2252",2006,"indie"
"2272",2006,"rock"
"2283",2006,"indie"
"2308",1998,"rock"
"2311",1998,"pop"
"2329",1998,"indie"
"2332",1998,"hip hop"
"2338",1998,"jazz"
"2356",2002,"rock"
"2359",2002,"pop"
"2377",2002,"indie"
